Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,151,0.0604
6,1357,0.5428
7,317,0.1268
8,155,0.062
9,107,0.0428
10,77,0.0308
11,59,0.0236
12,52,0.0208
13,42,0.0168
14,29,0.0116
15,17,0.0068
16,13,0.0052
17,20,0.008
18,8,0.0032
19,12,0.0048
20,9,0.0036
21,11,0.0044
22,5,0.002
23,10,0.004
24,1,0.0004
25,6,0.0024
26,3,0.0012
27,7,0.0028
28,1,0.0004
29,4,0.0016
30,3,0.0012
31,2,0.0008
32,2,0.0008
33,2,0.0008
35,1,0.0004
37,2,0.0008
38,1,0.0004
39,1,0.0004
40,1,0.0004
43,1,0.0004
46,1,0.0004
49,1,0.0004
50,1,0.0004
53,1,0.0004
65,1,0.0004
69,1,0.0004
76,1,0.0004
