Nodo,Grado
1,820.4000000000146
2,820.0833333333451
3,797.3500000000108
4,779.5666666666759
5,778.5690476190587
6,776.9333333333389
7,773.35000000001
8,771.8166666666797
9,758.9333333333495
10,752.5666666666791
11,752.200000000011
12,750.7833333333388
13,749.2500000000093
14,747.4500000000061
15,747.0833333333409
16,741.0166666666731
17,738.433333333343
18,738.3261904762078
19,736.2857142857323
20,734.7095238095352
21,733.4166666666748
22,732.666666666681
23,729.1333333333388
24,727.8500000000048
25,727.483333333342
26,726.6595238095367
27,726.3166666666756
28,726.3000000000062
29,724.3333333333383
30,723.7666666666768
31,721.3333333333406
32,720.6095238095288
33,717.9500000000079
34,715.8500000000108
35,715.8000000000075
36,715.4833333333464
37,714.7880952381064
38,714.5690476190481
39,712.1666666666694
40,712.1000000000068
41,708.1666666666764
42,707.8833333333401
43,707.8000000000038
44,707.5357142857231
45,705.5666666666749
46,703.4500000000033
47,703.0333333333361
48,703.0000000000126
49,702.4166666666691
50,700.6166666666802
51,699.8333333333383
52,699.688095238098
53,699.5166666666757
54,698.7761904761956
55,698.7500000000047
56,698.2023809523844
57,696.2000000000053
58,695.3000000000023
59,695.2833333333421
60,694.0428571428629
61,693.1690476190505
62,691.1690476190497
63,691.1500000000052
64,690.5833333333359
65,688.9666666666765
66,687.0000000000009
67,686.9761904761916
68,685.6261904761939
69,684.7333333333404
70,684.250000000007
71,681.7500000000081
72,681.1166666666783
73,680.6357142857189
74,680.3666666666734
75,679.2833333333356
76,678.285714285726
77,678.1166666666686
78,677.0690476190522
79,676.8333333333385
80,676.7214285714333
81,676.6333333333419
82,675.7642857142924
83,673.626190476192
84,673.4142857142946
85,673.1833333333342
86,672.8357142857265
87,672.8000000000103
88,672.6833333333363
89,672.4595238095266
90,671.7000000000025
91,671.5333333333388
92,671.2666666666772
93,671.1000000000108
94,671.0833333333404
95,670.8666666666678
96,670.7500000000028
97,669.2500000000027
98,669.1833333333434
99,668.8261904761993
100,668.6619047619095
101,668.1595238095314
102,666.56190476191
103,666.3690476190568
104,665.2119047619068
105,665.169047619053
106,664.9500000000032
107,664.2833333333377
108,663.7333333333384
109,663.7071428571493
110,663.3000000000011
111,661.8952380952367
112,661.7833333333361
113,661.5095238095231
114,659.8904761904803
115,659.5428571428574
116,659.4880952380947
117,659.076190476189
118,658.6166666666762
119,658.5785714285721
120,657.919047619056
121,657.7666666666732
122,657.4857142857232
123,657.3500000000042
124,656.8095238095315
125,656.6000000000032
126,656.242857142859
127,656.2142857142885
128,656.1880952380974
129,655.9500000000011
130,655.9000000000075
131,655.3928571428582
132,655.3666666666749
133,655.0904761904807
134,654.9928571428513
135,654.7547619047654
136,654.7500000000051
137,654.433333333333
138,654.3857142857222
139,654.3357142857179
140,654.2404761904776
141,654.1714285714303
142,654.1333333333364
143,653.9761904761942
144,653.8666666666749
145,653.833333333339
