Nodo,Grado
1,768.8833333333406
2,738.6333333333406
3,728.450000000007
4,707.9500000000047
5,707.7833333333409
6,704.7000000000047
7,698.950000000005
8,696.8833333333396
9,696.3833333333396
10,696.0666666666712
11,695.5833333333395
12,692.0833333333396
13,690.683333333341
14,689.1166666666713
15,688.2333333333385
16,687.8000000000061
17,687.6833333333385
18,686.8333333333389
19,685.716666666672
20,684.8666666666713
21,684.8666666666708
22,683.1333333333374
23,682.8000000000065
24,679.9166666666723
25,677.8666666666732
26,677.0833333333381
27,677.0333333333386
28,675.9666666666717
29,675.3833333333375
30,675.3333333333377
31,675.0833333333381
32,674.9500000000061
33,674.9500000000044
34,674.1500000000036
35,673.7166666666714
36,673.6000000000071
37,673.3166666666727
38,672.5333333333391
39,672.3500000000047
40,672.2500000000056
41,672.2166666666709
42,671.550000000006
43,670.6166666666726
44,670.1666666666719
45,668.8333333333378
46,668.4166666666719
47,668.4166666666714
48,668.3333333333401
49,668.3000000000068
50,668.2500000000066
51,668.0333333333388
52,666.8500000000057
53,666.3666666666719
54,666.2166666666734
55,666.0500000000058
56,665.8666666666707
57,665.7333333333388
58,665.2500000000056
59,664.5000000000042
60,664.083333333337
61,664.0500000000047
62,663.8500000000048
63,663.133333333338
64,663.0166666666724
65,662.8666666666733
66,662.2333333333387
67,661.8166666666723
68,661.6666666666694
69,661.6000000000046
70,661.1500000000067
71,661.0833333333363
72,660.7333333333384
73,660.666666666673
74,660.1333333333384
75,660.0000000000053
76,659.8833333333371
77,659.8000000000043
78,659.6500000000043
79,659.4666666666724
80,659.466666666671
81,659.4166666666712
82,659.2000000000066
83,658.9333333333387
84,658.8833333333381
85,658.8666666666712
86,658.6500000000045
87,658.316666666671
88,658.0166666666707
89,658.0000000000069
90,657.9000000000054
91,656.833333333338
92,656.8333333333369
93,656.7500000000041
94,656.5333333333379
95,656.5333333333377
96,656.4000000000045
97,655.9833333333394
98,655.8666666666727
99,655.8666666666716
100,655.86666666667
101,655.6333333333373
102,655.6166666666695
103,655.2666666666723
104,655.2166666666699
105,655.1333333333389
106,655.1333333333371
107,655.1000000000047
108,655.0500000000045
109,655.0333333333377
110,654.7000000000068
111,654.5666666666717
112,654.516666666671
113,654.1000000000041
114,653.9000000000073
115,653.8000000000034
116,653.6333333333381
117,653.4666666666717
118,653.4666666666706
119,653.2666666666703
120,653.050000000005
121,653.0000000000038
122,652.9666666666712
123,652.8833333333381
124,652.8333333333375
125,652.7500000000072
126,652.7500000000056
127,652.7000000000054
128,652.6833333333377
129,652.1500000000037
130,651.8666666666704
131,651.6000000000056
132,651.6000000000042
133,651.3000000000038
134,651.1333333333401
135,651.0666666666732
136,651.0666666666726
137,650.9000000000051
138,650.7333333333355
139,650.616666666671
140,650.3833333333369
141,650.2000000000021
142,649.9833333333384
143,649.8500000000034
144,649.8333333333369
145,649.8333333333359
146,649.7500000000039
147,649.6166666666733
148,649.5333333333368
149,649.3666666666712
150,649.3333333333369
151,649.3166666666709
152,649.1166666666704
153,648.9666666666716
154,648.9500000000041
155,648.8166666666701
156,648.7166666666725
157,648.7166666666693
158,648.61666666667
159,648.5500000000058
160,648.1500000000045
161,648.1166666666711
162,648.0166666666718
163,647.8333333333379
164,647.8000000000043
165,647.6666666666721
166,647.3000000000025
167,647.0500000000048
168,646.9833333333379
169,646.7666666666702
170,646.6500000000048
171,646.4833333333369
172,646.3333333333381
173,646.2666666666726
174,646.2666666666695
175,646.1500000000026
176,646.0500000000029
177,646.0166666666723
178,645.9666666666712
179,645.6333333333395
180,645.5833333333376
181,645.4666666666695
182,645.3166666666706
183,645.1500000000038
184,644.9500000000037
185,644.766666666671
186,644.4833333333372
187,644.433333333338
188,644.400000000002
189,644.3166666666701
190,644.0833333333362
191,644.0333333333391
192,643.9333333333358
193,643.9000000000065
194,643.8000000000029
195,643.7166666666702
196,643.450000000004
197,643.1166666666704
198,642.9833333333379
199,642.9166666666702
200,642.8500000000053
201,642.5833333333372
202,642.5333333333361
203,642.483333333337
204,642.4666666666719
205,642.383333333341
206,642.3833333333382
207,642.3000000000036
208,642.1666666666707
209,642.1500000000054
210,642.0166666666723
211,641.9000000000059
212,641.9000000000034
213,641.7500000000077
214,641.6833333333404
215,641.6666666666699
216,641.5666666666712
217,641.5500000000031
218,641.433333333337
219,641.4000000000057
220,641.3666666666709
221,641.3500000000066
222,640.9666666666716
223,640.9666666666695
224,640.6833333333351
225,640.4166666666702
226,640.400000000004
227,640.1000000000033
228,639.9166666666714
229,639.7666666666715
230,639.4833333333363
231,639.2500000000044
232,639.1833333333374
233,639.0000000000032
234,638.7666666666712
235,638.3500000000057
236,638.3333333333375
237,638.300000000005
238,638.3000000000029
239,638.2666666666715
240,638.1833333333363
241,638.1666666666716
242,638.0500000000028
243,637.9166666666696
244,637.9000000000027
245,637.8333333333388
246,637.6500000000044
247,637.6333333333359
248,637.5500000000029
249,637.4333333333374
250,637.3666666666694
251,637.3500000000067
252,637.2666666666704
253,637.2500000000039
254,637.2166666666723
255,637.2166666666704
256,637.2166666666702
257,637.1666666666721
258,637.1166666666716
259,637.0500000000036
260,636.9833333333363
261,636.9666666666691
262,636.7666666666709
263,636.7666666666701
264,636.7166666666689
265,636.5833333333385
266,636.5333333333372
267,636.4000000000042
268,636.3666666666701
269,636.3500000000046
270,636.3500000000039
271,636.3166666666699
272,636.2833333333359
273,636.2500000000031
274,636.2166666666723
275,636.2166666666695
276,636.1333333333404
277,636.1166666666719
278,636.0666666666698
279,636.0333333333373
280,636.016666666669
281,635.9833333333377
282,635.9166666666683
283,635.7500000000043
284,635.7166666666707
285,635.6500000000026
286,635.5833333333381
287,635.5000000000044
288,635.4666666666698
289,635.450000000004
290,635.3000000000038
291,635.1666666666716
292,635.1666666666691
293,634.9666666666698
294,634.8666666666705
295,634.8333333333381
296,634.5000000000033
297,634.4500000000029
298,634.3500000000028
299,634.3333333333354
300,634.3166666666698
301,634.3166666666688
302,634.266666666671
303,634.0500000000033
304,634.0000000000032
305,633.9666666666685
306,633.850000000004
307,633.7666666666688
308,633.7333333333384
309,633.6666666666697
310,633.5833333333384
311,633.5500000000043
312,633.5000000000038
313,633.4833333333394
314,633.4333333333377
315,633.3666666666696
316,633.3500000000035
317,633.1833333333371
318,633.1833333333353
319,633.1500000000046
320,633.1166666666705
321,633.1166666666685
322,633.0000000000035
323,632.9333333333378
324,632.8666666666696
325,632.7500000000044
326,632.7500000000028
327,632.7333333333376
328,632.7166666666689
329,632.6833333333368
330,632.6666666666688
