Nodo,Grado
1,861.28333333335
2,835.6000000000125
3,823.2166666666817
4,795.4333333333465
5,784.9333333333457
6,783.9833333333447
7,783.9833333333421
8,780.3666666666784
9,768.7333333333415
10,768.6166666666722
11,762.2500000000107
12,754.7333333333481
13,748.3333333333444
14,747.5000000000074
15,745.7666666666786
16,745.1333333333433
17,744.5500000000096
18,744.3000000000131
19,741.1666666666732
20,739.3166666666697
21,736.2166666666749
22,735.8000000000023
23,735.683333333345
24,734.7000000000075
25,734.5166666666792
26,731.9833333333415
27,729.2000000000072
28,727.3666666666734
29,726.3666666666738
30,724.583333333337
31,721.7000000000037
32,721.6261904761991
33,719.5500000000109
34,717.1833333333414
35,716.7833333333372
36,715.050000000011
37,714.6166666666777
38,713.6333333333408
39,713.2333333333466
40,712.8166666666713
41,711.8500000000117
42,710.6666666666753
43,710.3500000000055
44,708.1333333333441
45,707.2000000000023
46,706.9333333333396
47,706.3666666666685
48,705.7500000000047
49,705.6666666666719
50,705.4000000000057
51,704.7333333333366
52,703.2000000000108
53,703.2000000000045
54,700.6166666666732
55,700.466666666675
56,700.2500000000033
57,700.1166666666684
58,699.1666666666696
59,698.7000000000064
60,698.1000000000125
61,696.8833333333359
62,695.1500000000104
63,693.5333333333426
64,693.4333333333449
65,692.7333333333369
66,692.0738095238171
67,692.0500000000026
68,691.3333333333433
69,691.2023809523865
70,691.10000000001
71,690.7166666666735
72,690.4000000000084
73,689.4428571428614
74,688.4547619047663
75,688.359523809527
76,688.2333333333435
77,687.7833333333365
78,687.2333333333379
79,687.1857142857192
80,685.1833333333409
81,684.6833333333366
82,683.8000000000092
83,682.3666666666752
84,682.2000000000038
85,682.0666666666775
86,681.600000000006
87,681.3666666666676
88,680.1857142857169
89,679.4833333333386
90,677.6000000000082
91,676.9166666666712
92,676.4166666666724
93,676.0166666666755
94,675.7261904761946
95,672.1000000000091
96,671.6000000000109
97,671.4166666666695
98,671.1523809523857
99,671.133333333342
100,670.7619047619111
101,670.5666666666696
102,670.511904761907
103,669.6619047619047
104,669.3000000000076
105,669.2833333333347
106,668.3952380952414
107,668.3666666666692
108,668.1833333333352
109,668.0333333333398
110,667.8833333333364
111,667.8000000000053
112,667.4833333333419
113,667.4571428571478
114,667.121428571435
115,667.066666666674
116,667.0666666666691
117,666.9952380952411
118,666.6690476190521
119,666.3666666666752
120,666.3595238095271
121,665.3857142857203
122,664.8000000000005
123,664.7619047619071
124,664.0500000000033
125,663.8880952380968
126,663.4500000000069
127,663.3333333333362
128,662.6833333333379
129,662.4833333333409
130,662.2666666666734
131,662.2333333333384
132,661.7261904761947
133,661.6333333333424
134,661.1500000000035
135,661.133333333338
136,661.1000000000024
137,660.2928571428636
138,660.0000000000043
139,659.950000000004
140,659.5000000000065
141,659.1333333333359
142,658.9166666666683
143,658.7166666666701
144,658.400000000003
145,657.98333333334
146,657.2500000000026
147,657.2333333333341
148,656.7690476190495
149,655.7500000000069
150,655.3880952380993
151,654.8619047619096
152,654.6499999999996
153,654.283333333335
154,654.2500000000025
155,654.2500000000016
156,653.8500000000016
157,653.8214285714322
158,653.811904761904
159,653.7000000000024
160,653.5666666666688
161,653.5333333333355
162,653.4095238095258
163,653.3690476190508
164,653.1809523809535
165,653.1000000000064
166,652.9714285714341
167,652.6428571428629
168,652.4976190476186
169,652.4833333333353
170,652.2333333333382
171,651.6666666666691
172,651.4833333333406
173,651.2833333333391
174,650.7000000000018
175,650.4333333333382
176,650.0928571428591
177,649.9000000000018
178,649.8214285714297
179,648.8000000000011
180,648.583333333341
181,648.5119047619061
182,647.9119047619062
183,647.611904761906
184,647.6000000000033
185,647.4119047619077
186,647.283333333341
187,647.1666666666722
188,646.7261904761905
189,646.2547619047608
190,646.2166666666667
191,646.1833333333384
192,645.9476190476215
193,645.9000000000016
194,645.7333333333381
195,645.6333333333353
196,645.6000000000005
197,645.5261904761928
198,645.3333333333424
199,645.1166666666735
200,644.726190476193
201,644.2380952380973
202,643.7000000000032
203,643.6261904761935
204,643.3166666666713
205,642.785714285718
206,642.7000000000049
207,642.5500000000026
208,642.440476190476
209,642.2880952380972
210,642.1357142857182
211,641.9119047619032
212,641.8666666666688
213,641.8000000000031
214,641.4333333333378
215,641.3833333333347
216,641.2666666666714
217,640.5833333333389
218,640.5833333333387
219,640.5000000000023
220,640.4023809523844
221,640.0238095238062
222,639.6690476190535
223,639.6666666666681
224,639.5166666666686
225,639.2500000000034
226,639.1166666666685
227,639.0023809523827
228,638.9857142857181
229,638.7428571428596
230,638.6000000000007
231,638.4714285714292
232,638.3690476190525
233,638.2023809523849
234,638.1857142857162
235,638.1619047619046
236,638.1190476190478
237,637.9761904761897
238,637.9619047619066
239,637.6738095238123
240,637.5904761904778
241,637.5023809523851
242,637.1738095238112
243,637.133333333338
244,637.1190476190483
245,636.9619047619
246,636.9166666666702
247,636.8285714285742
248,636.6833333333378
249,636.5666666666729
250,636.4690476190501
251,636.1833333333407
252,635.9666666666701
