Nodo,Grado
1,766.6500000000117
2,737.0333333333452
3,726.9928571428707
4,714.5833333333401
5,712.2928571428679
6,707.0261904761959
7,702.7619047619144
8,702.0333333333409
9,699.3833333333404
10,694.5000000000051
11,694.0595238095358
12,693.4500000000108
13,690.1380952381002
14,688.666666666678
15,686.0833333333361
16,683.0857142857215
17,679.9619047619121
18,679.1380952381003
19,679.0238095238149
20,678.180952380955
21,676.6976190476234
22,676.4428571428609
23,675.7500000000048
24,675.2428571428591
25,674.3857142857205
26,673.676190476195
27,673.3333333333363
28,672.7095238095336
29,670.2761904761938
30,670.1261904762014
31,669.923809523815
32,669.7928571428592
33,669.057142857147
34,668.7071428571488
35,668.2666666666707
36,667.2714285714351
37,666.361904761905
38,666.1166666666686
39,665.9714285714315
40,665.8380952381011
41,665.6428571428555
42,665.3761904761953
43,663.2071428571458
44,662.1428571428593
45,661.8261904761943
46,658.916666666668
47,657.9166666666706
48,657.1000000000068
49,656.9000000000027
50,656.6404761904804
51,656.3095238095334
52,656.0333333333359
53,655.8357142857174
54,655.3000000000005
55,654.3642857142901
56,653.6738095238127
57,653.1166666666684
58,652.952380952381
59,652.2857142857148
60,652.2523809523835
61,650.361904761903
62,649.8119047619051
63,648.9738095238118
64,647.8666666666655
65,646.4428571428615
66,646.2452380952401
67,646.1690476190487
68,645.9571428571436
69,645.4547619047629
70,645.2571428571393
71,644.3166666666716
72,643.314285714283
73,642.7619047619037
74,642.6595238095266
75,642.3738095238098
76,641.3285714285748
77,640.9452380952404
78,640.5000000000052
79,639.8952380952362
80,639.6928571428618
81,639.3809523809556
82,638.9595238095267
83,638.791666666667
84,638.2761904761926
85,637.830952380951
86,637.7166666666632
87,637.5583333333301
88,637.4499999999962
89,637.2690476190504
90,636.3761904761924
91,636.2833333333281
92,635.9928571428565
93,635.9785714285728
94,635.5261904761899
95,634.814285714283
96,634.4380952380931
97,633.5857142857146
98,633.2047619047576
99,633.1999999999997
100,633.061904761904
101,633.0285714285744
102,632.9083333333299
103,632.7333333333363
104,632.6619047619063
105,632.1976190476229
106,631.8904761904773
107,631.8238095238113
108,631.7904761904779
109,630.4190476190432
110,630.4047619047595
111,629.5357142857155
112,629.0369047618951
113,628.8833333333318
114,628.7666666666712
115,628.6773809523731
