Nodo,Grado
1,686.5500000000063
2,674.5333333333374
3,673.6500000000042
4,672.6000000000046
5,667.8666666666726
6,665.4166666666728
7,665.016666666671
8,664.7500000000051
9,662.9666666666695
10,661.3333333333367
11,660.4000000000036
12,658.5000000000059
13,658.3000000000039
14,658.1166666666691
15,657.6666666666724
16,657.4833333333365
17,657.4333333333378
18,656.3666666666734
19,656.1500000000034
20,656.0333333333383
21,655.9500000000064
22,655.2333333333364
23,655.0500000000052
24,654.1500000000034
25,653.6000000000024
26,652.0333333333391
27,651.550000000004
28,651.4000000000062
29,650.7833333333393
30,650.7833333333376
31,650.4500000000056
32,650.3833333333394
33,649.7000000000031
34,649.6166666666701
35,649.4000000000027
36,649.2833333333346
37,648.2000000000031
38,647.5666666666671
39,647.3333333333354
40,646.8666666666714
41,646.600000000002
42,646.4833333333363
43,646.3333333333358
44,646.200000000006
45,646.0166666666703
46,645.083333333335
47,644.9166666666697
48,644.766666666672
49,644.5500000000035
50,644.233333333336
51,644.2000000000035
52,643.7166666666701
53,643.6666666666723
54,643.2666666666729
55,643.0000000000047
56,642.9666666666716
57,642.9666666666706
58,642.4166666666686
59,642.0500000000042
60,641.8833333333359
61,641.866666666669
62,641.5500000000028
63,641.5000000000033
64,641.4000000000057
65,641.2666666666707
66,641.2166666666694
67,641.2166666666685
68,640.8500000000034
69,640.7500000000041
70,640.7333333333346
71,640.7166666666706
72,640.2166666666708
73,640.1666666666687
74,640.0333333333364
75,639.8666666666712
76,639.7000000000055
77,639.6333333333369
78,639.5666666666675
79,639.366666666671
80,639.3166666666699
81,639.2666666666693
82,639.0000000000027
83,638.7666666666726
84,638.350000000005
85,638.1000000000033
86,637.9833333333372
87,637.9500000000027
88,637.7500000000051
89,637.6833333333346
90,637.383333333339
91,637.3000000000048
92,637.1666666666695
93,636.9166666666697
94,636.7666666666723
95,636.6500000000033
96,636.5666666666699
97,636.5166666666692
98,636.4333333333365
99,636.2000000000032
100,636.0333333333377
101,635.8666666666702
102,635.700000000004
103,635.7000000000014
104,635.683333333334
105,635.5833333333371
106,635.2500000000047
