Nodo,Grado
1,726.2666666666734
2,696.6666666666731
3,692.4166666666716
4,689.7166666666728
5,687.6833333333395
6,680.8333333333377
7,671.9833333333379
8,670.5000000000042
9,669.1666666666698
10,667.1666666666721
11,665.1833333333383
12,665.1000000000032
13,662.6833333333375
14,660.6833333333374
15,660.0000000000036
16,659.1333333333373
17,658.7666666666731
18,658.2166666666725
19,657.3333333333392
20,655.3833333333383
21,654.883333333336
22,654.6666666666731
23,654.4666666666715
24,654.3333333333355
25,653.7166666666708
26,653.000000000005
27,652.7333333333364
28,652.6833333333366
29,652.2333333333382
30,652.1666666666715
31,652.1333333333359
32,651.7666666666729
33,651.7333333333385
34,651.5166666666697
35,651.3333333333387
36,651.3166666666721
37,651.0500000000036
38,650.350000000003
39,650.033333333338
40,649.6333333333391
41,649.4000000000032
42,649.0833333333395
43,648.56666666667
44,648.5333333333351
45,648.3666666666691
46,648.3500000000043
47,648.0833333333375
48,648.0500000000036
49,647.2166666666694
50,647.1000000000063
51,646.9166666666696
52,646.8166666666713
53,646.666666666673
54,646.6333333333371
55,646.4666666666709
56,646.3500000000012
57,646.1500000000034
58,645.9833333333396
59,645.9833333333364
60,645.3500000000023
61,645.0833333333362
62,644.8333333333355
63,644.8166666666688
64,644.5500000000005
65,644.3333333333389
66,644.2666666666707
67,644.2166666666691
68,644.2166666666685
69,644.0166666666681
70,643.9833333333376
71,643.9000000000026
72,643.6166666666696
73,643.4333333333365
74,642.6333333333357
75,642.0500000000035
76,641.9833333333374
77,641.9166666666711
78,641.8833333333383
79,641.8833333333375
80,641.6833333333359
81,641.5166666666684
82,641.4333333333354
83,641.400000000003
84,641.1666666666704
85,640.8500000000021
86,640.7500000000044
87,640.6000000000031
88,640.366666666671
89,640.2666666666707
90,640.1833333333362
91,639.9833333333364
92,639.9333333333369
93,639.4833333333387
94,639.4000000000043
95,639.2333333333366
96,639.1666666666687
97,639.1333333333347
98,639.1000000000025
99,638.9833333333363
100,638.8500000000034
101,638.6833333333363
102,638.650000000005
103,638.600000000004
104,638.2000000000049
105,638.0833333333351
106,638.0500000000029
107,637.8500000000014
108,637.8166666666685
109,637.8000000000035
