Nodo,Grado
1,395.62201132201074
2,394.99466783216866
3,394.55867188367057
4,392.2797119547112
5,392.15045510045576
6,391.8060828060822
7,390.6166139416122
8,388.9021811521805
9,388.7505300255291
10,388.50268204018266
11,388.41681790431585
12,388.253869741366
13,388.1268342768346
14,388.10859695859597
15,387.9440670440651
16,387.25396547896446
17,387.0140997890991
18,386.6432123432104
19,386.30713730713524
20,386.26838439338417
21,386.26600621600676
22,386.0838411588398
23,386.04179709179624
24,386.00538905538883
25,384.8558719058711
26,384.48962148962175
27,384.0921731046733
28,382.67134393384003
29,382.15882034632045
30,382.1063297813278
31,382.0832306582313
32,381.815534465533
33,381.79951853701533
34,381.7170565545577
35,381.6812049062024
36,381.52149141707565
37,381.3857531357508
38,381.18618048617924
39,381.17430347429985
40,381.1153013653002
41,381.03309607059674
42,380.9534743034734
43,380.9150821400812
44,380.849855699855
45,380.8412282162262
46,380.75989035473964
47,380.6946053946019
48,380.65039821289787
49,380.48268398268
50,380.24522144522206
51,379.78962426462294
52,379.62479326229237
53,379.62423548673485
54,379.579892329891
55,379.4895465645449
56,379.2145437895437
57,379.2095311551196
58,379.001068376067
59,378.89136141635925
60,378.86899489399366
61,378.7291514041517
62,378.50741619491345
63,378.4615578865571
64,378.37901820401737
65,378.30252386502406
66,378.17758491508556
67,378.143739593739
68,377.9432442557416
69,377.8972194472162
70,377.2495568973476
71,377.0660853035814
72,377.04724719724817
73,376.61207819957957
74,376.54179847929464
75,376.2484251859214
76,376.1857359144089
77,375.8877594627593
78,375.8451409701401
79,375.77636807636594
80,375.7005340247989
81,375.6478826728819
82,375.477593648183
83,375.46994255744164
84,375.45011499937976
85,375.1949259074227
86,374.988360250858
87,374.9828629703609
88,374.9202034077002
89,374.8979015265732
90,374.81045621045575
91,374.6726618969277
92,374.66313686313663
93,374.65151792651756
94,374.5634869215757
95,374.39158708938095
96,374.1737914862924
97,373.7593351093332
98,373.570021645021
99,373.45114885114714
100,373.3953130203107
101,373.3594487212101
102,373.328726828727
103,373.25745781995914
104,372.981926406925
105,372.85368838677385
106,372.81431623931473
107,372.801567876562
108,372.64090770340465
109,372.4793316160922
110,372.4246114996079
111,372.42335997335897
112,372.4094211344216
113,372.3148439795499
114,372.16430097680177
115,371.9521936396902
116,371.9406968031965
117,371.8759046509021
118,371.716228052993
119,371.6100968475949
120,371.60979004655474
121,371.37437284937147
122,371.3082296788127
123,371.22604878781135
124,371.16004273503955
125,371.01294261294004
126,371.00692085692117
127,370.9511570129182
128,370.9482350982307
129,370.94788585597075
130,370.77689393939164
131,370.7324175824155
132,370.5409312909298
133,370.41689282939154
134,370.23359695859557
135,369.9986614692454
136,369.9909687534686
137,369.85398702604607
138,369.6339220420111
139,369.5885336069104
