Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,165,0.066
6,1334,0.5336
7,326,0.1304
8,157,0.0628
9,109,0.0436
10,74,0.0296
11,48,0.0192
12,47,0.0188
13,40,0.016
14,25,0.01
15,28,0.0112
16,26,0.0104
17,13,0.0052
18,14,0.0056
19,12,0.0048
20,10,0.004
21,8,0.0032
22,6,0.0024
23,9,0.0036
24,3,0.0012
25,6,0.0024
26,8,0.0032
27,2,0.0008
28,5,0.002
29,1,0.0004
30,3,0.0012
31,1,0.0004
33,2,0.0008
34,1,0.0004
35,1,0.0004
36,2,0.0008
37,1,0.0004
42,2,0.0008
43,1,0.0004
45,1,0.0004
48,1,0.0004
50,1,0.0004
59,1,0.0004
60,1,0.0004
83,1,0.0004
