Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,148,0.0592
6,638,0.2552
7,501,0.2004
8,409,0.1636
9,282,0.1128
10,196,0.0784
11,134,0.0536
12,87,0.0348
13,50,0.02
14,20,0.008
15,19,0.0076
16,4,0.0016
17,6,0.0024
18,1,0.0004
22,1,0.0004
