Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,163,0.0652
6,1316,0.5264
7,327,0.1308
8,153,0.0612
9,106,0.0424
10,78,0.0312
11,67,0.0268
12,58,0.0232
13,50,0.02
14,31,0.0124
15,26,0.0104
16,13,0.0052
17,11,0.0044
18,10,0.004
19,12,0.0048
20,14,0.0056
21,5,0.002
22,3,0.0012
23,5,0.002
24,2,0.0008
25,11,0.0044
26,6,0.0024
27,1,0.0004
28,2,0.0008
29,4,0.0016
30,3,0.0012
31,3,0.0012
32,1,0.0004
33,1,0.0004
35,1,0.0004
36,1,0.0004
37,1,0.0004
38,2,0.0008
42,1,0.0004
43,1,0.0004
44,1,0.0004
48,1,0.0004
49,2,0.0008
50,1,0.0004
52,1,0.0004
63,1,0.0004
