Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,159,0.0636
6,1342,0.5368
7,294,0.1176
8,148,0.0592
9,123,0.0492
10,82,0.0328
11,69,0.0276
12,58,0.0232
13,38,0.0152
14,27,0.0108
15,20,0.008
16,19,0.0076
17,23,0.0092
18,17,0.0068
19,14,0.0056
20,8,0.0032
21,7,0.0028
22,7,0.0028
23,3,0.0012
24,4,0.0016
25,2,0.0008
26,3,0.0012
27,1,0.0004
29,2,0.0008
30,1,0.0004
31,3,0.0012
32,3,0.0012
33,3,0.0012
34,2,0.0008
35,2,0.0008
36,2,0.0008
37,1,0.0004
38,2,0.0008
40,1,0.0004
41,1,0.0004
46,1,0.0004
49,1,0.0004
56,1,0.0004
66,1,0.0004
96,1,0.0004
