Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,138,0.0552
6,311,0.1244
7,491,0.1964
8,761,0.3044
9,437,0.1748
10,224,0.0896
11,98,0.0392
12,27,0.0108
13,5,0.002
14,3,0.0012
15,1,0.0004
