Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,158,0.0632
6,1334,0.5336
7,318,0.1272
8,159,0.0636
9,118,0.0472
10,71,0.0284
11,66,0.0264
12,46,0.0184
13,32,0.0128
14,32,0.0128
15,25,0.01
16,23,0.0092
17,18,0.0072
18,11,0.0044
19,7,0.0028
20,6,0.0024
21,13,0.0052
22,3,0.0012
23,6,0.0024
24,7,0.0028
25,8,0.0032
26,5,0.002
27,4,0.0016
28,2,0.0008
29,2,0.0008
30,2,0.0008
32,2,0.0008
33,1,0.0004
34,3,0.0012
35,1,0.0004
37,1,0.0004
39,2,0.0008
40,3,0.0012
44,2,0.0008
45,1,0.0004
46,1,0.0004
54,2,0.0008
65,1,0.0004
