Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,158,0.0632
6,1309,0.5236
7,353,0.1412
8,165,0.066
9,91,0.0364
10,72,0.0288
11,69,0.0276
12,45,0.018
13,44,0.0176
14,34,0.0136
15,28,0.0112
16,15,0.006
17,15,0.006
18,10,0.004
19,6,0.0024
20,9,0.0036
21,7,0.0028
22,5,0.002
23,8,0.0032
24,7,0.0028
25,5,0.002
26,5,0.002
27,3,0.0012
28,7,0.0028
29,5,0.002
30,4,0.0016
31,1,0.0004
32,3,0.0012
33,1,0.0004
34,1,0.0004
35,3,0.0012
37,1,0.0004
38,1,0.0004
40,1,0.0004
45,1,0.0004
47,1,0.0004
48,1,0.0004
55,1,0.0004
59,1,0.0004
