Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,156,0.0624
6,1367,0.5468
7,294,0.1176
8,170,0.068
9,106,0.0424
10,70,0.028
11,57,0.0228
12,50,0.02
13,26,0.0104
14,31,0.0124
15,27,0.0108
16,22,0.0088
17,15,0.006
18,14,0.0056
19,14,0.0056
20,10,0.004
21,9,0.0036
22,6,0.0024
23,4,0.0016
24,7,0.0028
25,5,0.002
26,6,0.0024
27,3,0.0012
28,5,0.002
29,3,0.0012
30,2,0.0008
31,1,0.0004
35,1,0.0004
36,1,0.0004
37,2,0.0008
38,1,0.0004
40,1,0.0004
41,1,0.0004
43,1,0.0004
44,2,0.0008
50,1,0.0004
51,1,0.0004
53,1,0.0004
54,1,0.0004
61,1,0.0004
76,1,0.0004
