Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,160,0.064
6,1333,0.5332
7,315,0.126
8,165,0.066
9,93,0.0372
10,93,0.0372
11,52,0.0208
12,42,0.0168
13,54,0.0216
14,25,0.01
15,20,0.008
16,25,0.01
17,18,0.0072
18,11,0.0044
19,16,0.0064
20,6,0.0024
21,6,0.0024
22,7,0.0028
23,8,0.0032
24,8,0.0032
25,6,0.0024
26,2,0.0008
27,6,0.0024
28,1,0.0004
30,2,0.0008
31,4,0.0016
32,2,0.0008
33,1,0.0004
34,3,0.0012
35,3,0.0012
36,1,0.0004
38,1,0.0004
41,1,0.0004
43,2,0.0008
44,1,0.0004
46,1,0.0004
53,1,0.0004
58,1,0.0004
