Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,161,0.0644
6,1344,0.5376
7,329,0.1316
8,137,0.0548
9,108,0.0432
10,82,0.0328
11,60,0.024
12,49,0.0196
13,36,0.0144
14,27,0.0108
15,24,0.0096
16,24,0.0096
17,11,0.0044
18,9,0.0036
19,10,0.004
20,13,0.0052
21,9,0.0036
22,12,0.0048
23,8,0.0032
24,2,0.0008
25,5,0.002
26,3,0.0012
27,4,0.0016
28,2,0.0008
29,5,0.002
30,2,0.0008
31,1,0.0004
32,3,0.0012
34,1,0.0004
35,3,0.0012
36,1,0.0004
37,1,0.0004
38,1,0.0004
41,1,0.0004
44,1,0.0004
45,1,0.0004
47,1,0.0004
48,1,0.0004
53,1,0.0004
54,1,0.0004
55,1,0.0004
66,1,0.0004
