Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,157,0.0628
6,1353,0.5412
7,319,0.1276
8,166,0.0664
9,108,0.0432
10,64,0.0256
11,57,0.0228
12,35,0.014
13,36,0.0144
14,32,0.0128
15,17,0.0068
16,23,0.0092
17,24,0.0096
18,16,0.0064
19,14,0.0056
20,10,0.004
21,9,0.0036
22,6,0.0024
23,2,0.0008
24,5,0.002
25,8,0.0032
26,5,0.002
27,4,0.0016
28,4,0.0016
29,3,0.0012
31,1,0.0004
34,2,0.0008
36,1,0.0004
39,1,0.0004
40,1,0.0004
42,3,0.0012
44,1,0.0004
45,1,0.0004
46,1,0.0004
47,1,0.0004
48,2,0.0008
49,1,0.0004
50,1,0.0004
52,1,0.0004
67,1,0.0004
