Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,163,0.0652
6,1385,0.554
7,316,0.1264
8,122,0.0488
9,86,0.0344
10,76,0.0304
11,55,0.022
12,51,0.0204
13,33,0.0132
14,29,0.0116
15,33,0.0132
16,21,0.0084
17,19,0.0076
18,14,0.0056
19,13,0.0052
20,9,0.0036
21,8,0.0032
22,8,0.0032
23,11,0.0044
24,5,0.002
25,4,0.0016
26,4,0.0016
27,5,0.002
28,2,0.0008
29,4,0.0016
30,2,0.0008
31,1,0.0004
32,2,0.0008
33,1,0.0004
34,1,0.0004
35,1,0.0004
36,1,0.0004
39,2,0.0008
40,1,0.0004
43,1,0.0004
47,2,0.0008
52,1,0.0004
53,1,0.0004
54,1,0.0004
55,1,0.0004
62,1,0.0004
