Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,155,0.062
6,1332,0.5328
7,312,0.1248
8,169,0.0676
9,99,0.0396
10,89,0.0356
11,69,0.0276
12,47,0.0188
13,41,0.0164
14,28,0.0112
15,25,0.01
16,13,0.0052
17,16,0.0064
18,13,0.0052
19,15,0.006
20,9,0.0036
21,8,0.0032
22,5,0.002
23,3,0.0012
24,3,0.0012
25,9,0.0036
26,1,0.0004
27,5,0.002
28,5,0.002
29,3,0.0012
30,1,0.0004
32,2,0.0008
33,3,0.0012
34,1,0.0004
35,2,0.0008
37,2,0.0008
39,2,0.0008
40,1,0.0004
41,2,0.0008
43,2,0.0008
44,2,0.0008
58,1,0.0004
63,1,0.0004
