Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,156,0.0624
6,1320,0.528
7,342,0.1368
8,169,0.0676
9,117,0.0468
10,86,0.0344
11,40,0.016
12,39,0.0156
13,38,0.0152
14,26,0.0104
15,28,0.0112
16,16,0.0064
17,11,0.0044
18,9,0.0036
19,20,0.008
20,5,0.002
21,7,0.0028
22,7,0.0028
23,6,0.0024
24,6,0.0024
25,8,0.0032
26,2,0.0008
27,5,0.002
28,4,0.0016
29,5,0.002
30,3,0.0012
31,1,0.0004
32,1,0.0004
33,2,0.0008
34,1,0.0004
35,1,0.0004
36,2,0.0008
37,2,0.0008
39,2,0.0008
41,3,0.0012
42,1,0.0004
45,1,0.0004
46,1,0.0004
48,1,0.0004
55,1,0.0004
56,1,0.0004
