Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,153,0.0612
6,1372,0.5488
7,300,0.12
8,154,0.0616
9,96,0.0384
10,83,0.0332
11,57,0.0228
12,44,0.0176
13,38,0.0152
14,33,0.0132
15,33,0.0132
16,21,0.0084
17,11,0.0044
18,12,0.0048
19,10,0.004
20,14,0.0056
21,8,0.0032
22,9,0.0036
23,7,0.0028
24,4,0.0016
25,1,0.0004
26,3,0.0012
27,4,0.0016
28,5,0.002
29,2,0.0008
30,1,0.0004
31,2,0.0008
32,1,0.0004
33,1,0.0004
34,5,0.002
35,1,0.0004
37,2,0.0008
44,2,0.0008
46,1,0.0004
48,2,0.0008
50,1,0.0004
53,1,0.0004
66,1,0.0004
79,1,0.0004
