Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,157,0.0628
6,1330,0.532
7,322,0.1288
8,165,0.066
9,118,0.0472
10,79,0.0316
11,61,0.0244
12,44,0.0176
13,28,0.0112
14,29,0.0116
15,25,0.01
16,13,0.0052
17,13,0.0052
18,13,0.0052
19,12,0.0048
20,14,0.0056
21,7,0.0028
22,5,0.002
23,6,0.0024
24,10,0.004
25,1,0.0004
26,4,0.0016
27,9,0.0036
28,7,0.0028
29,1,0.0004
30,2,0.0008
31,6,0.0024
34,2,0.0008
35,2,0.0008
36,1,0.0004
37,1,0.0004
38,2,0.0008
39,2,0.0008
42,2,0.0008
46,1,0.0004
51,1,0.0004
54,1,0.0004
