Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,159,0.0636
6,1302,0.5208
7,343,0.1372
8,192,0.0768
9,88,0.0352
10,79,0.0316
11,60,0.024
12,47,0.0188
13,36,0.0144
14,28,0.0112
15,20,0.008
16,27,0.0108
17,20,0.008
18,8,0.0032
19,9,0.0036
20,9,0.0036
21,9,0.0036
22,12,0.0048
23,5,0.002
24,2,0.0008
25,4,0.0016
26,5,0.002
27,4,0.0016
28,4,0.0016
29,3,0.0012
30,2,0.0008
32,2,0.0008
33,2,0.0008
35,1,0.0004
37,1,0.0004
38,2,0.0008
39,1,0.0004
41,2,0.0008
42,1,0.0004
44,1,0.0004
47,2,0.0008
49,1,0.0004
50,1,0.0004
58,2,0.0008
