Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,161,0.0644
6,1301,0.5204
7,360,0.144
8,145,0.058
9,107,0.0428
10,86,0.0344
11,62,0.0248
12,50,0.02
13,39,0.0156
14,22,0.0088
15,24,0.0096
16,18,0.0072
17,15,0.006
18,11,0.0044
19,17,0.0068
20,10,0.004
21,7,0.0028
22,9,0.0036
23,5,0.002
24,3,0.0012
25,8,0.0032
26,6,0.0024
27,6,0.0024
28,3,0.0012
30,4,0.0016
31,3,0.0012
32,1,0.0004
33,2,0.0008
34,2,0.0008
35,1,0.0004
41,2,0.0008
46,1,0.0004
48,1,0.0004
49,2,0.0008
58,1,0.0004
69,1,0.0004
